"xcoord","ycoord","site","case","cover","density","canopy.closure","basal.area","live.stems","v.comp","dom.sp.per","age","height","f_hab","n_hab"
519174.531,5575244.515,"MTC",0,"TC","OP",55,47.532581,364,3,100,173,33.8,3,2
517674.531,5575244.515,"MTC",0,"TC","DE",70,59.351341,474,3,100,173,32.8,3,1
517674.531,5574744.515,"MTC",0,"HE","SP",5,3.08936,57,2,100,153,28.9,3,1
518674.531,5574744.515,"MTC",0,"TC","DE",65,52.459759,461,4,60,123,31.4,3,2
519174.531,5574744.515,"MTC",0,"TC","OP",50,38.47023,512,3,100,93,27,2,1
520674.531,5574744.515,"MTC",0,"TC","OP",60,62.000061,407,4,75,283,37.4,3,1
520174.531,5575744.515,"MTC",0,"TC","OP",60,57.093502,605,4,55,83,26.3,2,0
520674.531,5575244.515,"MTC",0,"TC","DE",65,38.691299,921,3,70,53,22.8,2,0
520174.531,5575244.515,"MTC",0,"SL","SP",NA,NA,NA,NA,NA,NA,NA,1,0
522174.531,5574744.515,"MTC",0,"SL","OP",1,9.01579,759,3,90,33,10.7,1,0
520674.531,5575744.515,"MTC",0,"TC","OP",30,16.212841,798,3,60,53,16.5,1,0
520174.531,5574744.515,"MTC",0,"TC","DE",65,52.117279,457,2,95,103,30.9,3,2
521174.531,5574744.515,"MTC",0,"TC","OP",55,47.201256,361,4,95,103,34.1,3,3
521674.531,5574744.515,"MTC",0,"TC","OP",55,47.201256,361,4,95,103,34.1,3,3
522674.531,5575744.515,"MTC",0,"TC","DE",20,20.311989,214,3,80,133,31.2,3,1
522674.531,5575244.515,"MTC",0,"TC","OP",35,24.38504,334,4,100,103,25.6,3,1
523174.531,5575244.515,"MTC",0,"TC","OP",40,34.73772,405,NA,100,143,32.1,3,1
523674.531,5574744.515,"MTC",0,"TC","OP",55,48.00016,357,4,70,233,34.5,3,1
522674.531,5574744.515,"MTC",0,"TC","OP",45,32.98872,342,3,100,103,29.9,2,1
524174.531,5574744.515,"MTC",0,"TC","OP",50,54,318,3,80,233,38.6,3,1
523174.531,5574244.515,"MTC",0,"ST","DE",3,5.815681,200,2,60,55,16.2,1,0
523174.531,5575744.515,"MTC",0,"TM","DE",80,36.814781,598,2,30.1,63,24.2,1,0
523674.531,5575244.515,"MTC",0,"TM","DE",70,34.234447,594,2,50,63,24.2,1,0
523674.531,5575744.515,"MTC",0,"HE","OP",5,4.78137,161,3,50,73,23.8,2,0
522174.531,5574244.515,"MTC",0,"TC","OP",40,34.26088,363,3,95,83,29.8,3,2
522674.531,5574244.515,"MTC",0,"TC","OP",60,49.94553,473,4,55,88,30.6,3,3
524174.531,5574244.515,"MTC",0,"TC","DE",65,47.050819,586,3,80,73,27.2,2,1
523674.531,5574244.515,"MTC",0,"TM","DE",65,34.546883,1100,2,50,53,19.1,2,1
518674.531,5574244.515,"MTC",0,"TC","DE",65,52.459759,461,4,60,123,31.4,3,3
519674.531,5574744.515,"MTC",0,"TC","SP",25,17.50462,273,4,100,113,24.3,3,3
518674.531,5575244.515,"MTC",0,"TC","OP",50,31.288012,594,3,100,93,23.8,3,3
518174.531,5574744.515,"MTC",0,"TC","OP",55,45.342579,363,3,100,153,33,3,3
519174.531,5574244.515,"MTC",0,"SL","SP",4,2.10436,49,3,100,163,27.8,3,3
519674.531,5574244.515,"MTC",0,"TC","SP",20,18.895041,279,3,100,83,25.4,3,1
523174.531,5574744.515,"MTC",0,"TC","DE",65,48.35495,606,4,60,58,28,2,2
429174.531,5510244.515,"RLK",0,"TC","DE",65,51.9981,487,2,80,122,30.3,3,3
428674.531,5509744.515,"RLK",0,"TC","OP",45,26.816101,511,3,70,187,23.5,1,0
428174.531,5509744.515,"RLK",0,"SL","DE",5,20.380009,1224,3,40,27,13.1,1,0
430674.531,5509744.515,"RLK",0,"TC","DE",65,26.52795,3118,2,70,56,14.5,1,0
429174.531,5509744.515,"RLK",0,"TC","DE",65,35.861141,2530,2,90,56,18.2,2,2
428674.531,5509244.515,"RLK",0,"SL","DE",5,20.380009,1224,3,40,27,13.1,2,0
431674.531,5509244.515,"RLK",0,"TC","DE",75,35.512123,2507,2,60,59,16.6,2,1
432174.531,5509244.515,"RLK",0,"TC","DE",60,65.647224,419,2,50,122,33.8,3,3
429174.531,5509244.515,"RLK",0,"TC","DE",65,45.87093,668,3,90,182,25.5,1,0
426174.531,5509244.515,"RLK",0,"","LA",NA,NA,NA,NA,NA,NA,NA,-2,-2
431674.531,5508744.515,"RLK",0,"TC","DE",30,30.298401,295,4,80,252,31.3,3,1
430174.531,5509244.515,"RLK",0,"","LA",NA,NA,NA,NA,NA,NA,NA,-2,-2
430174.531,5508744.515,"RLK",0,"","LA",NA,NA,NA,NA,NA,NA,NA,-2,-2
426174.531,5510244.515,"RLK",0,"TC","DE",75,56.344337,556,3,60,112,28.4,3,3
426674.531,5510244.515,"RLK",0,"TC","DE",65,63.758121,336,3,60,212,40.6,3,3
425674.531,5509244.515,"RLK",0,"TC","DE",70,75.347946,384,3,85,112,38.9,3,3
429174.531,5508744.515,"RLK",0,"TC","OP",60,65,235,4,80,312,45.3,3,2
429674.531,5508244.515,"RLK",0,"TC","OP",60,39.358349,2043,2,60,34,18.3,1,0
430674.531,5508244.515,"RLK",0,"TM","DE",40,46.659401,252,4,80,182,40.8,3,2
425674.531,5508744.515,"RLK",0,"TB","OP",45,26.032049,898,3,100,27,23.6,2,1
425674.531,5508244.515,"RLK",0,"TC","SP",20,7.17952,660,NA,45,17,9.3,3,3
432674.531,5508244.515,"RLK",0,"TC","DE",65,35.823952,1171,3,50,112,15.9,2,1
428674.531,5510244.515,"RLK",0,"TC","DE",75,40.924129,3316,2,80,56,19.4,3,1
429674.531,5509744.515,"RLK",0,"TC","OP",60,38.79451,2390,3,40,56,21.9,1,1
429674.531,5509244.515,"RLK",0,"TC","OP",60,38.79451,2390,3,40,56,21.9,2,1
429674.531,5508744.515,"RLK",0,"TC","OP",60,35.988518,2103,2,80,56,18.2,2,1
430174.531,5509744.515,"RLK",0,"TC","DE",75,37.043159,3092,2,40,56,17.8,2,1
430174.531,5508244.515,"RLK",0,"TM","OP",60,37.274708,1466,4,50,57,21.7,2,1
428174.531,5510244.515,"RLK",0,"TC","OP",55,57.47636,274,3,50,112,40,3,1
430674.531,5509244.515,"RLK",0,"TC","DE",80,45.208038,2248,2,80,57,19.3,2,1
430674.531,5508744.515,"RLK",0,"TC","DE",75,39.96172,1932,2,90,59,17.9,2,1
431174.531,5509744.515,"RLK",0,"TC","DE",80,45.385841,2282,2,70,59,19.1,2,1
431674.531,5507744.515,"RLK",0,"TC","OP",55,51.230999,342,3,70,132,35.3,3,1
433174.531,5507744.515,"RLK",0,"TC","DE",50,45.613777,403,4,90,182,31.6,3,3
432674.531,5508744.515,"RLK",0,"TC","DE",75,49.664909,1001,3,50,49,21.9,2,1
430174.531,5507744.515,"RLK",0,"SL","DE",5,20.380009,1224,3,40,27,13.1,1,0
432174.531,5507244.515,"RLK",0,"TC","DE",80,50.192421,750,2,55,58,22,2,1
433174.531,5507244.515,"RLK",0,"TC","DE",80,65.831963,667,3,70,54,28.3,1,0
429674.531,5507244.515,"RLK",0,"TC","DE",65,47.213707,537,3,90,152,28.8,3,2
430674.531,5507744.515,"RLK",0,"TC","OP",50,14.27227,1029,2,90,22,11.9,1,1
426674.531,5509744.515,"RLK",0,"TC","DE",75,56.344337,556,3,60,112,28.4,3,2
426674.531,5509244.515,"RLK",0,"TC","DE",65,56.700909,415,3,90,112,33.7,3,2
427174.531,5509244.515,"RLK",0,"TC","DE",65,56.700909,415,3,90,112,33.7,3,2
427674.531,5508744.515,"RLK",0,"TC","DE",65,56.700909,415,3,90,112,33.7,3,2
427174.531,5510244.515,"RLK",0,"TC","OP",60,55.253529,414,4,60,122,33.4,3,2
427674.531,5510244.515,"RLK",0,"","LA",NA,NA,NA,NA,NA,NA,NA,3,2
425674.531,5509744.515,"RLK",0,"TC","DE",80,79.615105,423,3,80,82,36.1,3,2
426174.531,5508244.515,"RLK",0,"TC","DE",70,66.30619,449,3,80,92,33.3,3,2
426174.531,5509744.515,"RLK",0,"TC","DE",70,35.870949,249,4,60,187,38.7,3,2
426174.531,5508744.515,"RLK",0,"TC","OP",60,38.038109,627,3,85,82,24.1,3,2
431174.531,5509244.515,"RLK",0,"TC","DE",80,45.208038,2248,2,80,57,19.3,2,0
